"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","2","0","264","0","0"
"","Account lifecycle","A pending customer cannot have an account opened","0","0","1","0","0"
"","REST API","OPTIONS preflight on deposit returns CORS headers","0","0","1","0","0"
"","REST API","An unregistered route returns 404","0","0","1","0","0"
"","Account lifecycle","A verified customer can open an account and transact","0","0","1","0","0"
"","Account lifecycle","Withdrawals larger than the available balance are rejected","0","0","3","0","0"
"","REST API","Depositing to a real account succeeds","0","0","1","0","0"
"","REST API","General ledger trial balance is reachable and returns 200","0","0","1","0","0"
"","Account lifecycle","A large deposit creates a suspicious activity flag for review","0","0","1","0","0"
"","Account lifecycle","A teller-limit-exceeding withdrawal is queued for manager approval","0","0","1","0","0"
"","REST API","Looking up an unknown account returns 404","0","0","1","0","0"
"","REST API","Health check reports the service is up","0","0","1","0","0"
"","REST API","Customer list is reachable and returns 200","0","0","1","0","0"
