"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 09 06:58:40 UTC 2026","Sun Aug 09 06:58:40 UTC 2026","1","","com.branchteller.util.PasswordUtilTest","","com.branchteller.util.PasswordUtilTest","hash_differsAcrossDifferentSalts_forTheSamePassword","hash_differsAcrossDifferentSalts_forTheSamePassword()",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","3","","com.branchteller.service.ReportServiceIntegrationTest","","com.branchteller.service.ReportServiceIntegrationTest","flagCountForDate_countsOnlyFlagsFlaggedOnThatDay","flagCountForDate_countsOnlyFlagsFlaggedOnThatDay()",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","4","","com.branchteller.service.AmlIntegrationTest","","com.branchteller.service.AmlIntegrationTest","bankingServiceTransfer_flagsOnlyTheSourceAccount_notTheDestination","bankingServiceTransfer_flagsOnlyTheSourceAccount_notTheDestination()",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","4","","com.branchteller.service.AmlServiceTest","","com.branchteller.service.AmlServiceTest","checkAndFlag_boundaryAmounts_matchExpectedFlagOutcome","checkAndFlag_boundaryAmounts_matchExpectedFlagOutcome(String, boolean) [1] 1.00, false",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","20","","com.branchteller.service.AccountsKycIntegrationTest","","com.branchteller.service.AccountsKycIntegrationTest","openAccount_generatesUniqueAccountNumbers_acrossManyAccounts","openAccount_generatesUniqueAccountNumbers_acrossManyAccounts()",""
"passed","Sun Aug 09 06:58:40 UTC 2026","Sun Aug 09 06:58:40 UTC 2026","1","","com.branchteller.util.PasswordUtilTest","","com.branchteller.util.PasswordUtilTest","checkComplexity_validPasswords_returnNull","checkComplexity_validPasswords_returnNull(String) [2] Teller#2024",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","5","","com.branchteller.service.ReportServiceIntegrationTest","","com.branchteller.service.ReportServiceIntegrationTest","dailySummary_excludesTransactionsOutsideTheDayBoundary","dailySummary_excludesTransactionsOutsideTheDayBoundary()",""
"passed","Sun Aug 09 06:58:40 UTC 2026","Sun Aug 09 06:58:40 UTC 2026","26","","com.branchteller.service.InterestAccrualIntegrationTest","","com.branchteller.service.InterestAccrualIntegrationTest","zeroInterestRate_recordsAZeroAccrual_butNeverTouchesBalanceTransactionsOrGl","zeroInterestRate_recordsAZeroAccrual_butNeverTouchesBalanceTransactionsOrGl()",""
"passed","Sun Aug 09 06:58:40 UTC 2026","Sun Aug 09 06:58:40 UTC 2026","2","","com.branchteller.util.PasswordUtilTest","","com.branchteller.util.PasswordUtilTest","generateOtp_variesAcrossCalls","generateOtp_variesAcrossCalls()",""
"passed","Sun Aug 09 06:58:44 UTC 2026","Sun Aug 09 06:58:44 UTC 2026","6","","Account lifecycle","","A teller-limit-exceeding withdrawal is queued for manager approval","","A teller-limit-exceeding withdrawal is queued for manager approval","  As a bank branch, money can only move for KYC-verified customers with open accounts,
  withdrawals can never exceed the available balance, large transactions must be flagged
  for AML review, and withdrawals over a teller's limit must go through manager approval."
"passed","Sun Aug 09 06:58:40 UTC 2026","Sun Aug 09 06:58:40 UTC 2026","2","","com.branchteller.util.PasswordUtilTest","","com.branchteller.util.PasswordUtilTest","checkComplexity_missingACharacterClass_returnsAReasonMentioningIt","checkComplexity_missingACharacterClass_returnsAReasonMentioningIt(String, String) [2] ALLUPPERCASE1!, lowercase",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","5","","com.branchteller.service.ReportServiceIntegrationTest","","com.branchteller.service.ReportServiceIntegrationTest","flagCountForDate_reflectsRealFlagsRaisedThroughAmlService","flagCountForDate_reflectsRealFlagsRaisedThroughAmlService()",""
"passed","Sun Aug 09 06:58:44 UTC 2026","Sun Aug 09 06:58:44 UTC 2026","43","","com.branchteller.api.ApiServerIntegrationTest","","com.branchteller.api.ApiServerIntegrationTest","getOnDepositEndpoint_returns405MethodNotAllowed","getOnDepositEndpoint_returns405MethodNotAllowed()",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","10","","com.branchteller.service.ApprovalIntegrationTest","","com.branchteller.service.ApprovalIntegrationTest","reject_onAlreadyApprovedRequest_throwsIllegalStateException_regressionForMissingGuard","reject_onAlreadyApprovedRequest_throwsIllegalStateException_regressionForMissingGuard()",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","9","","com.branchteller.service.ApprovalIntegrationTest","","com.branchteller.service.ApprovalIntegrationTest","approve_onAlreadyApprovedRequest_throwsIllegalStateException_andDoesNotDoubleExecute","approve_onAlreadyApprovedRequest_throwsIllegalStateException_andDoesNotDoubleExecute()",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","4","","com.branchteller.service.ApprovalIntegrationTest","","com.branchteller.service.ApprovalIntegrationTest","submitWithdrawal_createsPendingRequestWithAccurateAuditTrail","submitWithdrawal_createsPendingRequestWithAccurateAuditTrail()",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","1","","com.branchteller.service.BankingServiceValidationTest","","com.branchteller.service.BankingServiceValidationTest","withdraw_nonPositiveAmount_isRejected","withdraw_nonPositiveAmount_isRejected(String) [3] -100.50",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","0","","com.branchteller.service.InterestServiceTest","","com.branchteller.service.InterestServiceTest","normalBalanceAndRate_computesSimpleMonthlyInterest","normalBalanceAndRate_computesSimpleMonthlyInterest()",""
